,English,Vietnamese,Tamil Translation,Spanish,Hindi,Malay,Arabic,Portuguese,Swahili,Russian,French,Filipino,Thai,INDONESIAN,Nepali,Bengali,Chinese (Simplified),Chinese (Traditional),Khmer
timby_reset_label,Reset TIMBY App,Đặt lại ứng dụng TIMBY,TIMBY பயன்பாட்டியை மீட்டமைக,REINICIAR APLICACIÓN DE TIMBY,एप्प रीसेट करें,Tetapkan semula TIMBY App,إعادة تعيين التطبيق TIMBY,Redefinir o aplicativo TIMBY,weka apu ya TIMBY upya,Сбросить приложение TIMBY,Réinitialiser l'application TIMBY,I-reset ang TIMBY App,รีเซ็ต TIMBY APP,Atur ulang Aplikasi TIMBY,टिम्बि एप रिसेट गर्नुहोस्,TIMBY App পুনঃবিন্যাস করুন,重置 TIMBY 应用程序,重設 TIMBY 應用程式,កំណត់កម្មវិធីTIMBYឡើងវិញ
timby_reset_label_subtitle,Resolve Sync/Export/Map issues,Giải quyết các vấn đề về Đồng bộ hóa / Xuất / Bản đồ,ஒத்திசைவு / தரவு ஏற்றுமதி / வரைபட பிரச்சினைகளை தீர்க்கவும்,Resolver problemas de sincronización/exportación/mapas,विन्यास/निर्यात/नक्शा से जुड़ी समस्या का समाधान करें,Selesaikan isu Segerak / Eksport / Peta,حل مشكلات المزامنة / التصدير / الخريطة,Resolver problemas de sincronização / exportação / mapa,"Suluhisha Usawazishaji / 
mchakato wa kutuma kwa kadi sakima",Решить проблемы синхронизации / экспорта / карты,Résoudre les problèmes de synchronisation / exportation / mappage,Malutas ang mga isyu sa Pag-sync / Export / Mapa,แก้ไขปัญหา การถ่ายโอน/การส่งออก/แผนที่,Menyelesaikan masalah Sinkronisasi/Ekspor/Peta,सिंक/एक्सपोर्ट/नक्सा समस्याहरु समाधान गर्नुहोस्,সিনক্রোনাইজেশন/এক্সপোর্ট/মানচিত্র সমস্যা সমাধান করুন,解决同步/导出/地图问题,解決同步/匯出/地圖問題,ដោះស្រាយបញ្ហាសមកាលកម្ម/នាំចេញ/បញ្ហាផែនទី
api_url,TIMBY API URL,TIMBY API URL,டிம்பீ ஏபிஐ யுஆர்எல்,API url,TIMBY API URL,URL API TIMBY,API URL TIMBY,API URL TIMBY,Kiungo cha API cha TIMBY,TIMBY API URL,API url,TIMBY API URL,TIMBY API URL,TIMBY API URL,टिम्बि एपिआइ युआरएल,TIMBY এপিআই ইউআরএল,TIMBY API URL,TIMBY API URL,TIMBY API URL
set,Set,Thiết lập,தொகுப்பு,Marcar,सेट,Set,وضع,Definir,Weka,Установить,Ensemble,I-set,ตั้งค่า,Set,सेट गर्नुहोस्,সেট,设置,設定,កំណត់
settings_saved,Settings have been saved!,Các cài đặt đã được lưu!,அமைப்புகள் சேமிக்கப்பட்டன!,Los ajustes se han guardado!,सेटिंग्स सहेज ली गई हैं!,Seting telah disimpan!,تم حفظ الإعدادات!,As definições foram guardadas!,Mipangilio ya simu yako imehifathiwa,Настройки сохранены!,Les Paramètres ont ete sauvegardes!,Nai-save na ang mga setting!,การตั้งค่าถูกบันทึกแล้ว!,Pengaturan telah tersimpan!,सेटिङहरु सेभ भएका छन् !,সেটিংস সেভ করে হয়েছে,已保存设置！,已保存設定！,ការកំណត់ត្រូវបានរក្សាទុក!
timby_analytics_title,TIMBY Analytics,Phân tích TIMBY,TIMBY பகுப்பாய்வு,Análisis de TIMBY,TIMBY एनालिटिक्स,Analisis TIMBY,تحليلات TIMBY,Análise TIMBY,Uchambuzi wa Timby,TIMBY аналитика,TIMBY Analytics,TIMBY analytics,การวิเคราะห์ TIMBY,Analisis TIMBY,TIMBY एनालिटिक्स,TIMBY বিশ্লেষণ,TIMBY分析,TIMBY分析,អ្នកវិភាគធីម៉ីប៊ី
opt_in_out,Send Analytics,Gửi phân tích,பகுப்பாய்வை அனுப்புக,Enviar Análisis,एनालिटिक्स भेजें,Hantar Analitis,إرسال تحليلات,Enviar análise,Tuma uchambuzi,Отправить аналитику,Envoyer des analyses,Magpadala ng Analytics,ส่งการวิเคราะห์,Kirim Analytics,एनालिटिक्स पठाउनुहोस्,বিশ্লেষণ পাঠান,发送分析,發送分析,ផ្ញើការវិភាគ
timby_analytics_subtitle,Analytics helps us build better features. We never collect your personal information,Phân tích giúp chúng tôi xây dựng các tính năng tốt hơn. Chúng tôi không bao giờ thu thập thông tin cá nhân của bạn,சிறந்த அம்சங்களை உருவாக்க பகுப்பாய்வு எங்களுக்கு உதவுகிறது. உங்கள் தனிப்பட்ட தகவல்களை நாங்கள் ஒருபோதும் சேகரிப்பதில்லை,Los análisis nos ayudan a crear mejores herramientas. Nunca recopilamos tu información personal.,एनालिटिक्स हमें बेहतर विशेषताएं बनाने में मदद करता है. हम आपकी व्यक्तिगत जानकारी कभी एकत्रित नहीं करते,Analitis membantu kami membina ciri yang lebih baik. Kami tidak pernah mengumpul maklumat peribadi anda,يساعدنا Analytics في بناء ميزات أفضل. نحن لا نجمع معلوماتك الشخصية أبدًا,O Analytics nos ajuda a criar melhores recursos. Nós nunca coletamos suas informações pessoais,"
Uchambuzi hutusaidia kujenga huduma bora. Kamwe hatuchambui habari yako ya kibinafsi",Аналитика помогает нам создавать лучшие функции. Мы никогда не собираем вашу личную информацию,Analytics nous aide à créer de meilleures fonctionnalités. Nous ne collectons jamais vos informations personnelles,Tinutulungan kami ng Analytics na bumuo ng mas mahusay na mga tampok. Hindi namin kinokolekta ang iyong personal na impormasyon,Analytics ช่วยให้เราสร้างคุณสมบัติที่ดีขึ้น เราไม่เคยรวบรวมข้อมูลส่วนบุคคลของคุณ,Analytics membantu kami membangun fitur yang lebih baik. Kami tidak pernah mengumpulkan informasi pribadi Anda,एनालिटिक्सले हामीलाई अझ राम्रा सुविधाहरू निर्माण गर्न मद्दत गर्दछ। हामी तपाईको व्यक्तिगत जानकारी कहिले पनि स collect्कलन गर्दैनौं,বিশ্লেষণ আমাদের আরও ভাল বৈশিষ্ট্যগুলি তৈরি করতে সহায়তা করে। আমরা কখনই আপনার ব্যক্তিগত তথ্য সংগ্রহ করি না,Analytics（分析）可帮助我们构建更好的功能。我们从不收集您的个人信息,Analytics（分析）可幫助我們構建更好的功能。我們從不收集您的個人信息,ការវិភាគជួយយើងបង្កើតលក្ខណៈល្អប្រសើរ។ យើងមិនដែលប្រមូលព័ត៌មានផ្ទាល់ខ្លួនរបស់អ្នកទេ
<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->,<!-- Add Report Page -->
add_picture,Image,Hình ảnh,படம்,Imagen,चित्र,Imej,صورة,Imagem,Picha,Картина,Image,Larawan,รูปภาพ,Gambar,इमेज,ইমেজ,图像,圖片,រូបភាព
add_video,Video,Video,வீடியோ,Video,विडियो,Video,فيديو,Vídeo,Video,Видео,Vidéo,Video,วิดีโอ,Video,भिडियो,ভিডিও,视频,影片,វីដេអូ
add_audio,Audio,Âm thanh,ஆடியோ,Audio,ऑडियो,Audio,صوت,Áudio,Sauti,Аудио,Audio,Audio,เสียง,Audio,अडियो,অডিও  ,音频,音訊,សំលេង
view_gallery,Gallery,Thư viện,கேலரி,Galería,गेलरी,Galeri,صالة عرض,Galeria,Hifadhi,Галерея,Gallerie,Gallery,อัลบั้ม,Galeri,ग्यालेरी,গ্যালারী ,图片库,圖片庫,កន្លែងវិចិត្រសាល
enter_title,Enter Title,Nhập tiêu đề,தலைப்பு சேர்க்கவும்,Escriba el Título,शीर्षक दर्ज करें,Masukkan Tajuk,وضع عنوان,Inserir o título,Ingiza Anwani,Внести Название,Entrer un Titre,Maglagay ng Pamagat,ใส่ชื่อเรื่อง,Masukan Judul,शिर्षक राख्नुहोस्,টাইটেল বা শিরোনাম প্রবেশ করান ,输入标题,輸入標題,បញ្ចូលចំណងជើង
company_or_person_field,Company/Person,Công ty / Người,நிறுவனம் / நபர்,Compañía/Persona,कम्पनी /व्यक्ति,Syarikat/Orang,إضافة شركة / شخص,Empresa/Pessoa,Kampuni/Mtu,Компания/Человек,Ajouter une compagnie/personne,Kompanya/Tao,บริษัท/บุคคล,Masukan Nama Perusahaan / Orang,कम्पनी/नाम,কোম্পানী/ব্যাক্তি ,公司 / 个人,公司 / 個人,ក្រុមហ៊ុន/បុគ្គល
description_field,Tell us what is happening,Cho chúng tôi biết điều gì đang xảy ra,என்ன நடக்கிறது என்று எங்களுக்கு சொல்லுங்கள்,Cuentenos que está sucediendo,इस रिपोर्ट में क्या हो रहा है ..,Beritahu kami apa yang sedang berlaku,أخبرنا بما يحدث ..,Conte-nos o que está a acontecer…,Tuelezee kinachoendelea,"Скажите нам, что происходит",Décrivez ce qu\'il se passe,Sabihin sa amin kung anong nangyayari,เล่าสิ่งที่เกิดขึ้น,Ceritakan Pada Kami apa yang terjadi,के भैरहेको छ हामीलाई बताउनुहोस्,কি ঘটছে আমাদের বলুন ,请填写内容,請填寫內容,ប្រាប់យើងពីអ្វីដែលកំពុងកើតឡើង
location_not_set,Location not set,Chưa cài đặt vị trí,இடம் அமைக்கப்படவில்லை,Locación no establecida,लोकेशन सेट नहीं,Lokasi tidak ditetapkan,لم يتم تعين الموقع,Localização não definida,Eneo halijawekwa,Локация не установлена,Localisation non définie,Hindi naitakda ang lokasyon,สถานที่ยังไม่ได้ทำการตั้งค่า,Set Lokasi,स्थान सेट गरिएन,লোকেশন সেট করা হয়নি ,尚未设定位置,尚未設定位置,មិនបានកំណត់ទីតាំង
done,Done,Đã hoàn tất,முடிந்தது,Grabar,किया हुआ,Selesai,فعله,Feito,Maliza,Завершено,Enregistrer,Tapos na,เสร็จ,Selesai,भयो,হয়ে গেছে ,完成,完成,ធ្វើរួច
edit_report,Edit Report,Sửa báo cáo,அறிக்கை திருத்தவும்,Editar reporte,एडिट,Edit Laporan,أضافه,Editar evento,Hariri ripoti,Редактировать отчет,Modifier le rapport,I-edit ang Report,แก้ไขการรายงาน,Edit Laporan,रिपोर्ट सम्पादन गर्नुहोस्,রিপোর্ট সম্পাদনা করুন ,编辑报告,編輯報告,កែប្រែរបាយការណ៍
no_media_added,No media added on this report yet!,Chưa có phương tiện nào được thêm vào báo cáo này!,இந்த அறிக்கையில் இதுவரை எந்த ஊடகமும் சேர்க்கப்படவில்லை!,¡Todavía no ha añadido archivos multimedia a este reporte!,अभी तक इस रिपोर्ट में कोई मीडिया जोड़ा नहीं गया है!,Tiada media ditambah ke dalam laporan ini lagi!,لم تتم إضافة أي وسائط إلى هذا التقرير بعد!,Ainda não foi adicionado conteúdo de media a este evento!,Hakuna picha/sauti/video zilizoongezwa katika ripoti!,Отчёт не содержит медиа!,Aucun fichier multimédia ajouté à ce rapport!,Wala pang naidagdag na media sa report na ito!,ยังไม่มีการเพิ่มมีเดียบนการรายงานนี้!,Tidak ada Media yang di masukan dalam laporan,यो रिपोर्टमा अझै रिपोर्ट थपिएन !,এই রিপোর্টটিতে এখনো কোন মিডিয়া যুক্ত করা হয়নি ,尚未在此报告上添加任何媒体！,尚未在此報告上新增任何媒體！,មិនទាន់បន្ថែមមេឌៀលើរបាយការណ៍នេះទេ!
location_is_not_set,Trouble finding location. Try again later!,Sự cố khi tìm vị trí. Thử lại sau!,இருப்பிடத்தை கண்டறிவதில் சிக்கல். மீண்டும் முயற்சிக்கவும்!,Problemas encontrando la locación. Intente de nuevo!,"लोकेशन ढूँढने में मुश्किल, दोबारा प्रयास करें",Masalah mencari lokasi. Cuba lagi kemudian!,صعوبه العثور على الموقع .حاول مره اخرى!,Dificuldade em encontrar a localização. Tente mais tarde!,Kuna tatizo kupata eneo. Jaribu tena!,Ошибка обнаружения локации. Попробуйте снова,Difficultés de localisation. Réessayez plus tard!,May problema sa paghahanap ng lokasyon. Subukang muli sa ibang pagkakataon!,พบปัญหาในการหาสถานที่ ลองใหม่อีกครั้ง!,"Kesulitan menemukan Lokasi, coba lagi",स्थान खोज्न समस्या l पछि फेरी कोशिश गर्नुहोस् !,লোকেশন খুজতে সমস্যা হচ্ছে। আবার চেষ্টা করুন! ,找不到位置，稍后再试！,找不到位置，稍後再試！,មានបញ្ហារកទីតាំង។ ព្យាយាម​ម្តង​ទៀត​នៅ​ពេលក្រោយ!
updated_successfully,updated successfully!,Cập nhật thành công!,வெற்றிகரமாக புதுப்பிக்கப்பட்டது!,actualización exitosa!,अद्यतन सफलतापूर्ण हो गया,Berjaya dikemas kini!,تحديث بنجاح!,Atualizado com sucesso!,Kuimarisha kumefaulu!,Успешно обновлено,mise à jour réussi!,tagumpay na na-update!,การอัปเดตเสร็จสมบูรณ์!,Update sukses,सफलतापूर्वक अपडेट भयो !,সফলভাবে আপডেট করা হয়েছে!,更新成功！,更新成功！,ធ្វើបច្ចុប្បន្នភាពដោយជោគជ័យ!
caption_updated,Caption updated Successfully !,Đã cập nhật chú thích thành công!,தலைப்பு வெற்றிகரமாக புதுப்பிக்கப்பட்டது!,Título actualizado con éxito,कैप्शन अपडेट हो गया !,Kapsyen berjaya dikemas kini!!,تم التقاطها في ________ تحديث بنجاح!,Legenda actualizada com sucesso!,Kuimarisha dondoo kumefaulu !,Подпись успешно обновлена,Légende mise à jour!,Matagumpay na na-update ang Caption!,คำอธิบายภาพอัปเดตเสร็จสมบูรณ์!,Caption Update sukses,क्याप्सन सफलतापूर्वक अपडेट भयो !,ক্যাপশন সফলভাবে আপডেট করা হয়েছে! ,标题成功更新！,標題成功更新！,បានធ្វើបច្ចុប្បន្នភាពចំណងជើងដោយជោគជ័យ!
select_sector,Select Sector,Chọn ngành,துறை தேர்ந்தெடுக்கவும்,Seleccione el sector,विषय का चयन करें,Pilih Sektor,حدد القطاع,Seleccionar sector,Chagua Sekta,Выберите сектор,Selectionner le secteur,Pumili ng Sektor,เลือกแผนก,Pilih Topik,सेक्टर रोज्नुहोस्,সেক্টর বাছাই করুন ,请选择类别,請選擇類別,ជ្រើសរើសវិស័យ
location_permission_rationale,Location permission is required to show the location of your report,Cần có quyền truy cập vị trí để hiển thị vị trí của báo cáo của bạn,"உங்கள் அறிக்கையில் இருப்பிடத்தை காட்ட, இருப்பிட அனுமதி தேவை",Se requiere permiso de ubicación Para mostrar la ubicación de su informe,आपकी रिपोर्ट का स्थान दिखाने के लिए स्थान की अनुमति आवश्यक है,Kebenaran lokasi diperlukan untuk memaparkan lokasi laporan anda,مطلوب إذن الموقع لإظهار موقع تقريرك,É necessária permissão de localização para mostrar a localização do seu relatório,Ruhusa ya mahali inahitajika ili kuonyesha eneo la ripoti yako,Для определения местоположения вашего отчета требуется разрешение на размещение.,Une autorisation de géolocalisation est requise pour indiquer l\'emplacement de votre rapport,Kinakailangan ang pahintulot sa lokasyon upang ipakita ang lokasyon ng iyong ulat,การอนุญาตให้เข้าถึงสถานที่เป็นเรื่องจำเป็นในการแสดงสถานที่บนการรายงานของคุณ,Ijin lokasi dibutuhkan untuk menunjukkan lokasi pada laporan anda,तपाईंको रिपोर्टको स्थान देखाउँन लोकेसन अनुमति आवश्यक हुन्छ,আপনার রিপোর্টে লোকেশন প্রদর্শন করতে লোকেশন অনুমোদন প্রয়োজন ,需要位置权限，显示报告的位置,需要位置許可權，顯示報告的位置,តម្រូវអោយមានការអនុញ្ញាតទីតាំងដើម្បីបង្ហាញពីទីតាំងនៃរបាយការណ៍របស់អ្នក
image_video_permission_rationale,Camera permission is required to add images or video to your report,Cần có quyền truy cập máy ảnh để thêm hình ảnh hoặc video vào báo cáo của bạn,உங்கள் அறிக்கையில் படங்களை அல்லது வீடியோவைச் சேர்க்க கேமரா அனுமதி தேவை,Se requiere permiso de la cámara Para agregar imágenes o videos a su informe,आपकी रिपोर्ट में छवियों या वीडियो को जोड़ने के लिए कैमरा अनुमति की आवश्यकता होती है,Kebenaran kamera diperlukan untuk menambah imej atau video kepada laporan anda,مطلوب إذن الكاميرا لإضافة الصور أو الفيديو إلى تقريرك,É necessária permissão da câmara para adicionar imagens ou vídeos ao seu relatório,Ruhusa ya kamera inahitajika ili kuongeza picha au video kwenye ripoti yako,Разрешение камеры требуется для добавления изображений или видео в ваш отчет,Une autorisation d\'utilisation de l\'appareil photo est requise pour ajouter des images ou des vidéos à votre rapport,Inakailangan ang pahintulot sa kamera upang magdagdag ng mga larawan o video sa iyong ulat,การอนุญาตให้เข้าถึงกล้องเป็นเรื่องจำเป็นในการเพิ่มรูปภาพหรือวิดีโอบนการรายงานของคุณ,Ijin kamera dibutuhkan untuk menambah gambar atau video pada laporan anda,तपाईंको रिपोर्टमा तस्विरहरु वा भिडियो थप्न क्यामेरा अनुमति आवश्यक पर्छ,আপনার রিপোর্টে ইমেজ বা ভিডিও যুক্ত করতে ক্যামেরা এর অনুমোদন অবশ্য প্রয়োজনীয় ,需要相机权限，将图像或视频添加到你的报告,需要相機許可權，將圖片或影片新增到你的報告,តម្រូវអោយមានការអនុញ្ញាតកាមេរ៉ាដើម្បីបន្ថែមរូបភាពឬវីដេអូទៅរបាយការណ៍របស់អ្នក
audio_permission_rationale,Audio permission is required to add audio to your report,Cần có quyền truy cập âm thanh để thêm âm thanh vào báo cáo của bạn,உங்கள் அறிக்கையில் ஆடியோவை சேர்க்க ஆடியோ அனுமதி தேவை,Se requiere permiso de audio Para agregar audio a su informe,आपकी रिपोर्ट में ऑडियो जोड़ने के लिए ऑडियो की अनुमति आवश्यक है,Kebenaran audio diperlukan untuk menambah audio kepada laporan anda,مطلوب إذن الصوت لإضافة الصوت إلى تقريرك,É necessária permissão de áudio para adicionar áudio ao seu relatório,Ruhusa ya sauti inahitajika ili kuongeza sauti kwenye ripoti yako,Для добавления аудио в ваш отчет требуется разрешение звука,Une autorisation d\'utilisation d\'enregistrements audio est requise pour ajouter des enregistrements audio à votre rapport,Kinakailangan ang pahintulot sa audio upang magdagdag ng audio sa iyong ulat,การอนุญาตให้เข้าถึงเสียงเป็นเรื่องจำเป็นในการเพิ่มเสียงบนการรายงานของคุณ,Ijin audio dibutuhkan untuk menambah audio pada laporan anda,तपाईंको रिपोर्टमा अडियो हाल्न अडियो अनुमति आवश्यक हुन्छ,আপনার রিপোর্টে অডিও যুক্ত করতে অডিও এর অনুমোদন অবশ্য প্রয়োজনীয় ,需要音频权限，将音频添加到你的报告,需要音訊許可權，將音訊新增到你的報告,តម្រូវអោយមានការអនុញ្ញាតសម្លេងដើម្បីបន្ថែមសម្លេងនៅក្នុងរបាយការណ៍របស់អ្នក
<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->,<!--Add  Caption -->
story_publish_describe_hint,Describe your capture..,Mô tả ảnh chụp của bạn ..,உங்கள் பிடிப்பு விவரிக்கவும் ..,Describa su captura,अपने क्लिप का वर्णन करें,Terangkan imej anda,صف التقاط,Descreva a sua captura,Elezea ulichonasa,Опишите вашу работу,Décrivez votre prise de vue,Ilarawan ang iyong nakuhang litrato,อธิบายรูปภาพของคุณ..,Jelaskan Tentang Gambar Anda,तपाईंको क्याप्चर व्याख्या गर्नुहोस्..,আপনার ক্যাপচারটি বর্ণনা করুন ...,描述图像或视频,描述圖片或影片,ពិពណ៌នាអំពីរូបថតរបស់អ្នក ។.
add__caption,Add Caption,Thêm chú thích,தலைப்பைச் சேர்,Añada descripción,कैप्शन दें,Tambah Kapsyen,اسم المستخدم غير فعال,Adicionar legenda,Ongeza Dondoo,Добавить подпись,Ajouter une légende,Magdagdag ng Caption,เพิ่มคำอธิบาย,Tuliskan Keterangan,क्याप्सन थप्नुहोस्,ক্যাপশন যুক্ত করুন ,添加标题,新增標題,បន្ថែមចំណងជើង
add_caption,Add Caption,Thêm chú thích,தலைப்பைச் சேர்,Añada descripción,कैप्शन दें,Tambah Kapsyen,اسم المستخدم غير فعال,Adicionar legenda,Ongeza Dondoo,Добавить подпись,Ajouter une légende,Magdagdag ng caption,เพิ่มคำอธิบาย,Tuliskan Keterangan,क्याप्सन थप्नुहोस्,ক্যাপশন যুক্ত করুন ,添加标题,新增標題,បន្ថែមចំណងជើង
skip__caption,Skip,Bỏ qua,தவிர்க்க,Saltar >>,छोड़ें >>,Langkau >>,تخطى,Saltar,Ruka,продолжить,Passer ,Laktawan,ข้าม,Skip,छोड्नुहोस्,এটা উহ্য রাখুন  ,跳过,跳過,រំលង
<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->,<!--Reports Page -->
report_title,Title,Tiêu đề,தலைப்பு,Título,,Tajuk,عنوان,Título,Kichwa,Название,Titre,Pamagat,ข้อเรื่อง,Judul,शिर्षक राख्नुहोस्,টাইটেল বা শিরোনাম,标题,標題,ចំណងជើង
report_status,Status,Trạng thái,நிலைமை,Estado,स्टेटस,Status,الحالة,Estado,Hali,Статус,État,Status,สถานะ,Status,स्थिति,স্ট্যাটাস ,状态,狀態,ស្ថានភាព
report_date,Date,Ngày,தேதி,Fecha,डेट,Tarikh,تاريخ,Data,Tarehe,Дата,Date,Petsa,วันที่,Tanggal,मिति,তারিখ ,日期,日期,កាលបរិច្ឆេទ
not_synced,Not synced,Chưa đồng bộ,ஒத்திசைக்கப்படவில்லை,Aún no sincronizado,सिंक नहीं हुआ,Tidak selaras,لم تتم مزامنته,Não sincronizado,Hazijasawazishwa,Не синхронизировано,Non Synchronisé,Hindi naka-sync,ยังไม่ได้ถ่ายโอน,Belum di Sinkronisasikan,सिंक गरिएको छैन,সিঙ্ক্রোনাইজেশন করা হয়নি ,没有同步,沒有同步,មិនធ្វើសមកាលកម្ម
synced,Synced,Đã đồng bộ,ஒத்திசைக்கப்பட்டன,Sincronizado,सिंक किया गया,Selaras,تمت مزامنته,Sincronizado,Zimesawazishwa,Синхронизировано,Synchronisé,Naka-sync,ถ่ายโอนแล้ว,Sinkronisasi,सिंक गरिएको छैन,সিঙ্ক্রোনাইজেশন করা হয়েছে ,已同步,已同步,បានធ្វើសមកាលកម្ម
not_exported,Not exported,Chưa xuất,ஏற்றுமதி செய்யப்படவில்லை,Aún no exportado,एक्सपोर्ट नहीं किया गया,Tidak dieksport,لم يتم تصديرها,Não exportado,Hazijatumwa,Не экспортирован,Non exporté,Hindi nai-export,ยังไม่ได้ส่งออก,Belum Di Ekspor,एक्सपोर्ट गरिएको छैन,এক্সপোর্ট করা হয়নি ,尚未导出,尚未匯出,មិននាំចេញ
exported,Exported,Đã xuất,ஏற்றுமதி செய்யப்பட்டது!,Exportado,निर्यात किए गए,Dieksport,تصدير,Exportado,Kutuma kumefaulu!,Экспортирован,Exporté,Nai-export,ส่งออกแล้ว,Di Ekspor,एक्सपोर्ट गरियो,এক্সপোর্ট করা হয়েছে ,已导出,已匯出,នាំចេញ
delete_report_confirmation,Are you sure you want to delete report?,Bạn có chắc chắn muốn xóa báo cáo không?,அறிக்கையை நிச்சயமாக நீக்க விரும்புகிறீர்களா?,Está seguro que quiere borrar este reporte?,क्या आप ये रिपोर्ट डिलीट करना चाहते हैं?,Adakah anda pasti anda ingin memadam laporan?,هل انته متاكد من حذف هذا التقرير؟,Tem a certeza que pretende eliminar este evento?,Una hakika ungetaka kufuta hii ripoti ?,"Вы уверены, что хотите удалить отчет?",Êtes-vous sûr de vouloir supprimer ce rapport?,Sigurado kabang gusto mong burahin ang report?,คุณแน่ใจว่าต้องการลบการรายงานหรือไม่?,Apakah anda yakin ingin menghapus laporan?,के तपाईं रिपोर्ट मेट्न चाहनुहुन्छ ?,আপনি কি নিশ্চিত যে আপনি এই রিপোর্টটি মুছে ফেলতে চান? ,确定要删除报告？,確定要刪除報告？,តើអ្នកប្រាកដជាចង់លុបរបាយការណ៍មែនទេ?
cancel_,Cancel,Hủy,ரத்து செய்யவும்,Cancelar,कैंसल,Batal,الغاء,Cancelar,Sitisha,Отмена,Annuler,Kanselahin,ยกเลิก,Batalkan,रद्द गर्नुहोस्,বাতিল ,取消,取消,បោះបង់
ok,OK,OK,சரி,De acuerdo,ओके,OK,OK,OK,OK,OK,D\'accord,OK,ตกลง,OK,हुन्छ,ঠিক আছে ,确定,確定,យល់ព្រម
   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->,   <!--Map Page -->
map,Map,Bản đồ,வரைபடம்,Mapa,नक्शा,Peta,خريطة,Mapa,Ramani,карта,Carte,Mapa,แผนที่,Peta,नक्सा,ম্যাপ ,地图,地圖,ផែនទី
layers,Layers,Lớp,அடுக்குகள்,Capas,परतें,Lapisan,طبقات,Camadas,Vipande,Слои,Couches,Mga Layer,เลเยอร์,Lapisan,लेयर,স্তরসমূহ ,图层,圖層,ស្រទាប់
map_layers,Map Layers,Lớp bản đồ,வரைபட அடுக்குகள்,Capas de mapa,नक्शा परतें,Lapisan peta,طبقات الخريطة,Camadas do mapa,Vipande vya Ramani,Слои карты,Couches de carte,Mga layer ng mapa,เลเยอร์แผนที่,Lapisan Peta,नक्सा लेयरहरु,ম্যাপের স্তরসমূহ ,地图图层,地圖圖層,ស្រទាប់ផែនទី
map_vectors,Map vectors,Bản đồ vectơ,வரைபட திசையன்கள்,Vectores del mapa,मैप वेक्टर,Peta Vektor,متجهات الخريطة,Vetores do mapa,Vecta za ramani,Векторы карты,Vecteurs de carte,Mga vectors ng mapa,แผนที่เวกเตอร์,Vektor Peta,मानचित्र भेक्टर,মানচিত্রের ভেক্টর,地图向量,地圖向量,ផែនទីវ៉ិចទ័រ
initiate_downloading_offline_map,No map found! Downloading..,Không tìm thấy bản đồ nào! Đang tải xuống ..,வரைபடம் எதுவும் இல்லை! பதிவிறக்குகிறது ..,¡Ningún mapa encontrado! Descargando ..,कोई नक्शा नहीं मिला! डाउनलोड कर रहा है ..,Tiada peta dijumpai! muat turun ..,لم يتم العثور على خريطة! جارى التحميل..,Nenhum mapa encontrado! A transferir...,Hakuna ramani iliyopatikana! Inapakua ..,Карта не найдена! загрузка ..,Aucune carte trouvée! Téléchargement,Walang nakitang mapa! Nagda-download..,ไม่พบแผนที่! กำลังดาวน์โหลด..,Peta tidak ditemukan! Mengunduh..,कुनै नक्सा भेटिएन ! डाउनलोड गर्दै..,কোন ম্যাপ খুজে পাওয়া যায়নি! ডাউনলোড করা হচ্ছে ...,找不到地图！ 正在下载…,找不到地圖！ 正在下載…,រកមិនឃើញផែនទីទេ! កំពុងទាញយក…
